Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Noordhoevelaan 16,Dordrecht,598000.0,232.0,155.0,1998.0,Bestaande bouw,"Herenhuis, geschakelde woning (waterwoning)",Plat dak bedekt met bitumineuze dakbedekking,4,1 badkamer en 2 aparte toiletten,3 woonlagen,B,"Aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,52.8
Veer 41,Zaamslag,239000.0,224.0,82.0,1910.0,Bestaande bouw,"Eengezinswoning, geschakelde woning (dijkwoning)",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4,1 badkamer en 1 apart toilet,2 woonlagen,F,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,8.65
Drumptselaan 91,Tiel,489000.0,326.0,173.0,1983.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",20.95
Deusonelaan 2,Diessen,675000.0,515.0,194.0,1986.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8,1 badkamer en 1 apart toilet,3 woonlagen en een kelder,B,Aan rustige weg en in woonwijk,Tuin rondom,29.0
Dissel 59,Veenendaal,379900.0,194.0,120.0,1974.0,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,46.3
Tarweland 12,Leusden,565000.0,344.0,133.0,1973.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan park, aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",22.55
Scholeksterstraat 9,Volendam,320000.0,149.0,120.0,1968.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,E,In woonwijk en open ligging,Achtertuin en voortuin,19.3
Handelskade 32,Nieuwegein,650000.0,213.0,133.0,1910.0,Bestaande bouw,"Herenhuis, vrijstaande woning",Mansarde dak bedekt met pannen,4,1 badkamer en 1 apart toilet,3 woonlagen,G,"Aan rustige weg, aan vaarwater, aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,22.4
Kloosring 8 a,Oud-Beijerland,1295000.0,653.0,224.0,2017.0,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,9,2 badkamers en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, aan water, beschutte ligging en in woonwijk",Tuin rondom,47.4
Ds van Dijkstraat 23,Dinxperlo,225000.0,258.0,68.0,1966.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,Aan rustige weg,Achtertuin en voortuin,27.75
Dahliastraat 38,Utrecht,550000.0,102.0,116.0,1904.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,3,1 badkamer en 1 apart toilet,2 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin,36.85
Antonius Heggelaan 39,Den Haag,549500.0,161.0,135.0,2005.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer,3 woonlagen,A+,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,54.6
Vilmos Huszárstraat 13,Rotterdam,525000.0,154.0,133.0,2002.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,127.8
Esdoornstraat 41,Brakel,285000.0,203.0,97.0,1972.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,26.0
Jacob Catsstraat 38,Spijkenisse,325000.0,206.0,92.0,1959.0,Bestaande bouw,"Eengezinswoning, hoekwoning (hofjeswoning)",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en open ligging","Achtertuin, voortuin en zijtuin",18.65
De Klef 3,Sint Anthonis,795000.0,1631.0,174.0,1994.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, voortuin en zijtuin",32.8
Lente 13,Dronten,675000.0,757.0,159.0,2000.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4,2 badkamers en 1 apart toilet,2 woonlagen,A,"Aan park, aan rustige weg, beschutte ligging, in bosrijke omgeving, in woonwijk en vrij uitzicht",Tuin rondom,9.85
Dorpsstraat 176,Zoetermeer,625000.0,272.0,130.0,1930.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,9,2 badkamers en 1 apart toilet,3 woonlagen,C,In centrum,Achtertuin,49.7
Spoorven 3,Veghel,690000.0,823.0,184.0,1996.0,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,7,1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,"Achtertuin, tuin rondom en voortuin",23.6
Bovenkerkerweg 79 F,Amstelveen,1200000.0,460.0,206.0,2001.0,Bestaande bouw,"Villa, halfvrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,6,2 badkamers en 1 apart toilet,3 woonlagen en een kelder,A,Aan rustige weg en beschutte ligging,"Achtertuin, voortuin en zijtuin",25.6
Monnickskamp 77,Huizen,495000.0,185.0,111.0,1979.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,2 badkamers,2 woonlagen en een zolder,C,Beschutte ligging en in woonwijk,"Achtertuin, voortuin en zijtuin",29.65
Langstraat 5,Rhoon,550000.0,165.0,129.0,2005.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk,Patio/atrium en zonneterras,16.35
Mennistensteeg 6,Dalfsen,1695000.0,17515.0,400.0,,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met riet,7,3 badkamers en 1 apart toilet,4 woonlagen,C,"Aan rustige weg, beschutte ligging, buiten bebouwde kom, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, tuin rondom, voortuin, zijtuin en zonneterras",11.35
Croeselaan 202,Utrecht,649000.0,90.0,115.0,1906.0,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,4,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,In woonwijk,Achtertuin,
